sigma,other,stepsize,p0_c,p0_b,lo_c,lo_b,hi_c,hi_b,cs,bs,error,time_total
A,A,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.8000685786828399,0.30004777334864613,8.342905510438912e-8,0.073908499
A,B,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.7642087936401367,0.29211543083190983,0.048222325112017905,0.019550501
A,R,0.01,2.0,0.7,0.0,0.01,100.0,0.99,2.040060043334961,0.3350299644470217,0.5829944609507969,0.0165882
A,L1,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.8000685786828399,0.30004777334864613,8.929028543631787e-8,9.317123
A,L12,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.8000685786828399,0.30004777334864613,8.521283358486341e-8,61.6035955
B,A,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.838967107975531,0.3083705181729183,6.667898218963393e-5,0.0113211
B,B,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.8001107844465878,0.3000495343138009,2.3635297572012346e-5,0.0278022
B,R,0.01,2.0,0.7,0.0,0.01,100.0,0.99,2.0644557289779186,0.3362820411473507,0.3009407244422283,0.0616878
B,L1,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.838967107975531,0.3083705181729183,6.727554028017166e-5,8.8865982
B,L12,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.838967107975531,0.3083705181729183,6.669452114183508e-5,80.4052722
R,A,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.6036334782838821,0.2722077175974845,9.881163163419788e-5,0.0076584
R,B,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.5775399208068848,0.2656464838981644,0.19956320429647972,0.0208505
R,R,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.8000130094587803,0.3000209073396409,2.9353760444551467e-5,0.0266141
R,L1,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.6036334782838821,0.2722077175974845,9.84518041371728e-5,8.143455899
R,L12,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.6036334782838821,0.2722077175974845,9.879823439470557e-5,58.729799399
L1,A,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.7999054556712508,0.29994880058105466,5.2130723959034056e-8,0.0112372
L1,B,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.7642087936401367,0.29211543083190983,0.04864981161653167,0.021799901
L1,R,0.01,2.0,0.7,0.0,0.01,100.0,0.99,2.040060043334961,0.3350299644470217,0.5832293204124432,0.0203938
L1,L1,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.8000685786828399,0.30004777334864613,8.342945517502067e-8,10.072968101
L1,L12,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.7999054556712508,0.29994880058105466,5.0706493674629885e-8,66.763234099
L12,A,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.8000685786828399,0.30004777334864613,8.524443664283118e-8,0.0123076
L12,B,0.01,2.0,0.7,0.0,0.01,100.0,0.99,1.7642087936401367,0.29211543083190983,0.04823335134062627,0.0293678
L12,R,0.01,2.0,0.7,0.0,0.01,100.0,0.99,2.040060043334961,0.3350299644470217,0.5829806972591144,0.0230654
