sigma,other,duration,p0_c,p0_b,lo_c,lo_b,hi_c,hi_b,cs,bs,error,time_total
A,A,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.7999114990234375,0.2999272918701164,2.8163501862815487e-8,0.0719722
A,B,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.715590000152588,0.2863190364837641,0.12055972539087928,0.004351201
A,R,5.0,2.0,0.7,0.0,0.01,100.0,0.99,2.1970502734184265,0.3555468037724503,0.02733895630832293,0.009877199
A,L1,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.8004608154296875,0.3003011322021477,7.796753590090639e-7,0.2114437
A,L12,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.7999114990234375,0.2999272918701164,3.8707954087682476e-7,0.7894062
B,A,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.9249930551312389,0.3312220049046185,0.00020915779926280055,0.001564799
B,B,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.7997856140136719,0.29978055953979466,3.004476391565666e-5,0.0073254
B,R,5.0,2.0,0.7,0.0,0.01,100.0,0.99,2.3484780532307923,0.38621200729511024,0.10605341381717064,0.0221191
B,L1,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.9255597591400146,0.33151609897613443,0.00022781357973851907,0.105456799
B,L12,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.9248991762228798,0.3311645264980562,0.00021099614451376345,1.0302759
R,A,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.4768078695160511,0.24612618409243217,0.0001776733195890809,0.001133799
R,B,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.4141910101291408,0.22294393556869763,0.04566085805932979,0.0095782
R,R,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.8002024292945862,0.3001916670799264,1.6862786348110435e-5,0.008227899
R,L1,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.47389428497263,0.24381927583652058,0.00015971946316577497,0.114286101
R,L12,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.4768078695160511,0.24612618409243217,0.0001763024088872669,0.7251751
L1,A,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.7999114990234375,0.2999272918701164,8.17538774625731e-7,0.0013471
L1,B,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.6995964432878736,0.27230310533422214,0.016860427865637975,0.0101392
L1,R,5.0,2.0,0.7,0.0,0.01,100.0,0.99,2.197922706604004,0.3560017061233526,0.02567139854385849,0.005934401
L1,L1,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.7999114990234375,0.2999272918701164,2.813259507898154e-8,0.101244999
L1,L12,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.7999114990234375,0.2999272918701164,5.327396321333509e-7,0.6487583
L12,A,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.7999114990234375,0.2999272918701164,3.821195218605235e-7,0.0011558
L12,B,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.715590000152588,0.2863190364837641,0.12076042707410053,0.0048754
L12,R,5.0,2.0,0.7,0.0,0.01,100.0,0.99,2.1970502734184265,0.3555468037724503,0.026997497947034828,0.008332899
L12,L1,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.8004608154296875,0.3003011322021477,5.033114729089472e-7,0.111499299
L12,L12,5.0,2.0,0.7,0.0,0.01,100.0,0.99,1.7999114990234375,0.2999272918701164,2.816303423528279e-8,0.661003101
A,A,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.80000809681925,0.30000385618924863,1.006756151047805e-10,0.002169699
A,B,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.7081756591796875,0.27969879150390603,0.044519674698169594,0.0076766
A,R,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,2.191631004214287,0.3516527894139275,0.040890550681430875,0.008670101
A,L1,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.8007354313181168,0.3003266503131563,8.126588804793131e-7,0.188194401
A,L12,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.7999861019000505,0.29999393254999485,2.9340422097501166e-7,1.7459796
B,A,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.9202384520322084,0.3275629955297332,0.0002672050659401425,0.001374
B,B,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.800125071182265,0.300054280750774,7.367171938428173e-6,0.0120403
B,R,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,2.338897164696334,0.3795502554812209,0.15941788027200904,0.015206001
B,L1,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.921309984754771,0.3280102760123551,0.0002849374360539455,0.154584199
B,L12,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.9202384520322084,0.3275629955297332,0.00026881730648366323,1.0315462
