sigma,other,p0_c,p0_b,lo_c,lo_b,hi_c,hi_b,cs,bs,error,time_total
A,A,2.0,0.7,0.0,0.01,100.0,0.99,1.7288751155138016,0.2694539801404018,0.6141387106313836,0.100609899
A,B,2.0,0.7,0.0,0.01,100.0,0.99,1.6546628847718239,0.25241521399468314,98.90536132471165,0.0229698
A,R,2.0,0.7,0.0,0.01,100.0,0.99,2.1020269952714443,0.3184227064251903,98.75390722269145,0.0144325
A,L1,2.0,0.7,0.0,0.01,100.0,0.99,1.7288751155138016,0.2694539801404018,0.6141566085807375,0.508696699
A,L12,2.0,0.7,0.0,0.01,100.0,0.99,1.7288751155138016,0.2694539801404018,0.6141606057298432,2.668266599
B,A,2.0,0.7,0.0,0.01,100.0,0.99,1.9378317196824355,0.34013301223619447,0.5884675337116286,0.002620599
B,B,2.0,0.7,0.0,0.01,100.0,0.99,1.812538601217966,0.31467605251731345,94.37235049656886,0.0240545
B,R,2.0,0.7,0.0,0.01,100.0,0.99,2.3496971881533,0.3870932239234653,95.16942261425896,0.020982699
B,L1,2.0,0.7,0.0,0.01,100.0,0.99,1.9370453807132435,0.33986106871839394,0.5885453907930319,0.455639101
B,L12,2.0,0.7,0.0,0.01,100.0,0.99,1.9378317196824355,0.34013301223619447,0.5884700622216349,2.596439599
R,A,2.0,0.7,0.0,0.01,100.0,0.99,1.3793528657406569,0.2003134702518585,0.616006356835753,0.005596699
R,B,2.0,0.7,0.0,0.01,100.0,0.99,1.3394974284001364,0.18761428785352585,97.93021337286879,0.0282948
R,R,2.0,0.7,0.0,0.01,100.0,0.99,1.6741766929626465,0.24796442031860513,98.95762634022537,0.015634401
R,L1,2.0,0.7,0.0,0.01,100.0,0.99,1.3794444184750319,0.2003359006717804,0.6159741840948417,0.5935514
R,L12,2.0,0.7,0.0,0.01,100.0,0.99,1.3793528657406569,0.2003134702518585,0.6160027303239755,3.833469901
L1,A,2.0,0.7,0.0,0.01,100.0,0.99,1.7822556793689728,0.2895924320817056,0.6488010807708464,0.0064558
L1,B,2.0,0.7,0.0,0.01,100.0,0.99,1.69146728515625,0.26815460205078134,104.52011619926148,0.020019499
L1,R,2.0,0.7,0.0,0.01,100.0,0.99,2.1036376953125,0.3165295410156248,105.13457086246801,0.0084277
L1,L1,2.0,0.7,0.0,0.01,100.0,0.99,1.7822830909863114,0.2895830240100683,0.648795214798488,0.5827738
L1,L12,2.0,0.7,0.0,0.01,100.0,0.99,1.7822556793689728,0.2895924320817056,0.648809245582483,3.3722041
L12,A,2.0,0.7,0.0,0.01,100.0,0.99,1.7968918266628293,0.30210904411990314,0.6742532672353934,0.0059547
L12,B,2.0,0.7,0.0,0.01,100.0,0.99,1.7007942349882796,0.28033286374760724,108.50062013816498,0.019598
L12,R,2.0,0.7,0.0,0.01,100.0,0.99,2.1790607684770293,0.3491142956318988,108.60430896294123,0.018887601
L12,L1,2.0,0.7,0.0,0.01,100.0,0.99,1.7988749891665066,0.3028752621126238,0.6742572915583095,0.397543699
L12,L12,2.0,0.7,0.0,0.01,100.0,0.99,1.7969172934349444,0.30211817097217225,0.6742381146126021,3.8693616
